# Matter power spectrum P(k) at redshift z=0
# for k=1.04211e-05 to 8.36311 h/Mpc,
# number of wavenumbers equal to 611
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042112388942e-05       4.754457191111e+01 
       2.328039212501e-05       1.035328759244e+02 
       3.618470082371e-05       1.586783166049e+02 
       4.916865298042e-05       2.135191696772e+02 
       6.226742175446e-05       2.683698699217e+02 
       7.551706304773e-05       3.234710355320e+02 
       8.895483804212e-05       3.790316569082e+02 
       1.026195499729e-04       4.352464849379e+02 
       1.165518994473e-04       4.923050462086e+02 
       1.307948626515e-04       5.503971622432e+02 
       1.453940967957e-04       6.097168602350e+02 
       1.603983770889e-04       6.704654593945e+02 
       1.758600693623e-04       7.328542609300e+02 
       1.918356420988e-04       7.971070272988e+02 
       2.083862209798e-04       8.634623955289e+02 
       2.255781880102e-04       9.321762700380e+02 
       2.434838256483e-04       1.003524247265e+03 
       2.621820039460e-04       1.077804065743e+03 
       2.817589052276e-04       1.155338076696e+03 
       3.023087759702e-04       1.236475673043e+03 
       3.239346889380e-04       1.321595630070e+03 
       3.467492898566e-04       1.411108209921e+03 
       3.708754916222e-04       1.505456910672e+03 
       3.964470649748e-04       1.605119601088e+03 
       4.236090577194e-04       1.710608811006e+03 
       4.525179554758e-04       1.822470804723e+03 
       4.833414768576e-04       1.941283022826e+03 
       5.162578773986e-04       2.067649463770e+03 
       5.514546234461e-04       2.202193476601e+03 
       5.891262953181e-04       2.345547515377e+03 
       6.294715955226e-04       2.498339503884e+03 
       6.726893805815e-04       2.661175654822e+03 
       7.189737104431e-04       2.834619886904e+03 
       7.685080196561e-04       3.019170517449e+03 
       8.214586532835e-04       3.215235301235e+03 
       8.779681606562e-04       3.423106657010e+03 
       9.381488726161e-04       3.642939037826e+03 
       1.002077366762e-03       3.874731049395e+03 
       1.069790416824e-03       4.118314276841e+03 
       1.141282908533e-03       4.373350816667e+03 
       1.216507993380e-03       4.639339910350e+03 
       1.295379480572e-03       4.915633696935e+03 
       1.377776193196e-03       5.201438344680e+03 
       1.463547795934e-03       5.495886840583e+03 
       1.552521480187e-03       5.798062053453e+03 
       1.644508880698e-03       6.106993360340e+03 
       1.739312679618e-03       6.421701259226e+03 
       1.836732494838e-03       6.741220521601e+03 
       1.936569810165e-03       7.064619107593e+03 
       2.038631853469e-03       7.391012089307e+03 
       2.142734445664e-03       7.719571326885e+03 
       2.248703921488e-03       8.049531786556e+03 
       2.356378265099e-03       8.380193492200e+03 
       2.465607616998e-03       8.710921849888e+03 
       2.576254302855e-03       9.041146020529e+03 
       2.688192517580e-03       9.370354566613e+03 
       2.801307775803e-03       9.698096617572e+03 
       2.915496217077e-03       1.002396727009e+04 
       3.030663833034e-03       1.034761666566e+04 
       3.146725665733e-03       1.066873373653e+04 
       3.263605011696e-03       1.098704958604e+04 
       3.381232654729e-03       1.130232852552e+04 
       3.499546141910e-03       1.161436862269e+04 
       3.618489110793e-03       1.192299341757e+04 
       3.738010671412e-03       1.222805311064e+04 
       3.858064843511e-03       1.252941737405e+04 
       3.978610047468e-03       1.282697904341e+04 
       4.099608646065e-03       1.312064681210e+04 
       4.221026533561e-03       1.341034011704e+04 
       4.342832768215e-03       1.369599862673e+04 
       4.464999244286e-03       1.397756907118e+04 
       4.587500399681e-03       1.425501426988e+04 
       4.710312955582e-03       1.452829611541e+04 
       4.833415684645e-03       1.479736214946e+04 
