# Matter power spectrum P(k) at redshift z=0
# for k=1.04211e-05 to 8.36311 h/Mpc,
# number of wavenumbers equal to 611
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042112388942e-05       4.754457191111e+01 
       2.328039212501e-05       1.035328759244e+02 
       3.618470082371e-05       1.586783166049e+02 
       4.916865298042e-05       2.135191696772e+02 
       6.226742175446e-05       2.683698699217e+02 
       7.551706304773e-05       3.234710355320e+02 
       8.895483804212e-05       3.790316569082e+02 
       1.026195499729e-04       4.352464849379e+02 
       1.165518994473e-04       4.923050462086e+02 
       1.307948626515e-04       5.503971622432e+02 
       1.453940967957e-04       6.097168602350e+02 
       1.603983770889e-04       6.703910445445e+02 
       1.758600693623e-04       7.327651004637e+02 
       1.918356420988e-04       7.970012622620e+02 
       2.083862209798e-04       8.633379667036e+02 
       2.255781880102e-04       9.320308851980e+02 
       2.434838256483e-04       1.003355343307e+03 
       2.621820039460e-04       1.077608764780e+03 
       2.817589052276e-04       1.155113135058e+03 
       3.023087759702e-04       1.236217421997e+03 
       3.239346889380e-04       1.321299906905e+03 
       3.467492898566e-04       1.410770277909e+03 
       3.708754916222e-04       1.505071366285e+03 
       3.964470649748e-04       1.604680266783e+03 
       4.236090577194e-04       1.710108611876e+03 
       4.525179554758e-04       1.821901627446e+03 
       4.833414768576e-04       1.940635555652e+03 
       5.162578773986e-04       2.066913016834e+03 
       5.514546234461e-04       2.201355782739e+03 
       5.891262953181e-04       2.344594512908e+03 
       6.294715955226e-04       2.497255104514e+03 
       6.726893805815e-04       2.659941501946e+03 
       7.189737104431e-04       2.833215112065e+03 
       7.685080196561e-04       3.017571505217e+03 
       8.214586532835e-04       3.213415475077e+03 
       8.779681606562e-04       3.421036300253e+03 
       9.381488726161e-04       3.640585164247e+03 
       1.002077366762e-03       3.872057336535e+03 
       1.069790416824e-03       4.115281072202e+03 
       1.141282908533e-03       4.369915221946e+03 
       1.216507993380e-03       4.635455943278e+03 
       1.295379480572e-03       4.911252523919e+03 
       1.377776193196e-03       5.196508593730e+03 
       1.463547795934e-03       5.490354918172e+03 
       1.552521480187e-03       5.791872489010e+03 
       1.644508880698e-03       6.100089193903e+03 
       1.739312679618e-03       6.414024408415e+03 
       1.836732494838e-03       6.732712132185e+03 
       1.936569810165e-03       7.055219878647e+03 
       2.038631853469e-03       7.380662567843e+03 
       2.142734445664e-03       7.708212169105e+03 
       2.248703921488e-03       8.037103984436e+03 
       2.356378265099e-03       8.366638568299e+03 
       2.465607616998e-03       8.696182021385e+03 
       2.576254302855e-03       9.025164335448e+03 
       2.688192517580e-03       9.353075018037e+03 
       2.801307775803e-03       9.679464227083e+03 
       2.915496217077e-03       1.000392817254e+04 
       3.030663833034e-03       1.032611815195e+04 
       3.146725665733e-03       1.064572430659e+04 
       3.263605011696e-03       1.096247897504e+04 
       3.381232654729e-03       1.127614773137e+04 
       3.499546141910e-03       1.158652991619e+04 
       3.618489110793e-03       1.189345035765e+04 
       3.738010671412e-03       1.219676054407e+04 
       3.858064843511e-03       1.249633144212e+04 
       3.978610047468e-03       1.279205716875e+04 
       4.099608646065e-03       1.308384769579e+04 
       4.221026533561e-03       1.337162374336e+04 
       4.342832768215e-03       1.365532623337e+04 
       4.464999244286e-03       1.393490315175e+04 
       4.587500399681e-03       1.421031854354e+04 
       4.710312955582e-03       1.448153554572e+04 
       4.833415684645e-03       1.474850300919e+04 
